pmid,file_source,pubmed,mid,pmc,doi,pii,pmcid,other_medline,other_sici
21514249,pubmed_0_to_99.xml,21514249,NIHMS363316,PMC3312027,10.1016/j.jalz.2011.03.008,S1552-5260(11)00104-X,,,
11528419,pubmed_0_to_99.xml,11528419,,,10.1038/nn0901-887,nn0901-887,,,
22801501,pubmed_0_to_99.xml,22801501,,,10.1038/nature11283,nature11283,,,
17760499,pubmed_0_to_99.xml,17760499,,PMC1952204,10.1371/journal.pmed.0040262,07-PLME-RA-0179,,,plme-04-08-13
23622690,pubmed_0_to_99.xml,23622690,NIHMS487510,PMC3707386,10.1016/j.jalz.2013.01.010,S1552-5260(13)00042-3,,,
11375493,pubmed_0_to_99.xml,11375493,,,10.1126/science.1059946,292/5521/1550,,,
8705854,pubmed_0_to_99.xml,8705854,,,10.1038/nm0896-864,,,,
1465129,pubmed_0_to_99.xml,1465129,,,10.1038/360672a0,,,,
8424174,pubmed_0_to_99.xml,8424174,,,10.1126/science.8424174,,,,
17270732,pubmed_0_to_99.xml,17270732,,,10.1016/j.neuron.2007.01.010,S0896-6273(07)00030-X,,,
16020737,pubmed_0_to_99.xml,16020737,NIHMS4920,PMC1574647,10.1126/science.1113694,309/5733/476,,,
16049335,pubmed_0_to_99.xml,16049335,,PMC1603574,10.1016/s0002-9440(10)62993-8,S0002-9440(10)62993-8,,,
7596406,pubmed_0_to_99.xml,7596406,,,10.1038/375754a0,,,,
17021169,pubmed_0_to_99.xml,17021169,,PMC6674618,10.1523/JNEUROSCI.1202-06.2006,26/40/10129,,,
14506131,pubmed_0_to_99.xml,14506131,,,10.1093/hmg/ddg322,ddg322,,,
12895417,pubmed_0_to_99.xml,12895417,,,10.1016/s0896-6273(03)00434-3,S0896627303004343,,,
15748844,pubmed_0_to_99.xml,15748844,,,10.1016/j.neuron.2005.01.040,S0896-6273(05)00078-4,,,
10818140,pubmed_0_to_99.xml,10818140,,PMC6772621,10.1523/JNEUROSCI.20-11-04050.2000,20/11/4050,,,
12881482,pubmed_0_to_99.xml,12881482,,PMC170959,10.1073/pnas.1133381100,1133381100,,,
7845465,pubmed_0_to_99.xml,7845465,,,10.1038/373523a0,,,,
11140684,pubmed_0_to_99.xml,11140684,,,10.1038/35050103,,,,
11520987,pubmed_0_to_99.xml,11520987,,,10.1126/science.1058189,293/5534/1487,,,
10932182,pubmed_0_to_99.xml,10932182,,,10.1038/78078,,,,
10518543,pubmed_0_to_99.xml,10518543,,PMC18379,10.1073/pnas.96.21.11872,,,,
9354339,pubmed_0_to_99.xml,9354339,,,10.1016/s0896-6273(00)80974-5,S0896-6273(00)80974-5,,,
8938131,pubmed_0_to_99.xml,8938131,,,10.1016/s0896-6273(00)80230-5,S0896-6273(00)80230-5,,,
16039562,pubmed_0_to_99.xml,16039562,NIHMS7089,PMC1373682,10.1016/j.neuron.2005.06.030,,,,
17234594,pubmed_0_to_99.xml,17234594,,PMC6672801,10.1523/JNEUROSCI.4849-06.2007,27/3/627,,,
15987683,pubmed_0_to_99.xml,15987683,,,10.1074/jbc.M505249200,S0021-9258(20)79350-6,,,
11224536,pubmed_0_to_99.xml,11224536,,,10.1038/85064,85064,,,
16279840,pubmed_0_to_99.xml,16279840,,PMC1283364,10.1371/journal.pmed.0020355,05-PLME-RA-0291R1,,,
17192425,pubmed_0_to_99.xml,17192425,,PMC6674728,10.1523/JNEUROSCI.4180-06.2006,26/52/13428,,,
11460100,pubmed_0_to_99.xml,11460100,,,10.1038/35081266,35081266,,,
14555954,pubmed_0_to_99.xml,14555954,,,10.1038/nn1139,nn1139,,,
17143242,pubmed_0_to_99.xml,17143242,,,10.1227/01.NEU.0000245601.69451.27,00006123-200611000-00014,,,
11684504,pubmed_0_to_99.xml,11684504,,,,M1001a,,,
18288693,pubmed_0_to_99.xml,18288693,NIHMS128105,PMC2747362,10.1002/ana.21344,,,,
18666828,pubmed_0_to_99.xml,18666828,,PMC2486295,10.1371/journal.pbio.0060170,08-PLBI-RA-0487,,,plbi-06-07-30
17055439,pubmed_0_to_99.xml,17055439,,,10.1016/j.cell.2006.09.024,S0092-8674(06)01228-1,,,
19296504,pubmed_0_to_99.xml,19296504,NIHMS115616,PMC2696350,10.1002/ana.21610,,,,
20332507,pubmed_0_to_99.xml,20332507,,,10.1136/bmj.c1432,bmj.c1432,,,
20332510,pubmed_0_to_99.xml,20332510,,PMC2844941,10.1136/bmj.c723,bmj.c723,,,
20133839,pubmed_0_to_99.xml,20133839,,PMC2836607,10.1073/pnas.0904532106,0904532106,,,
18650345,pubmed_0_to_99.xml,18650345,NIHMS95275,PMC2702093,10.1523/JNEUROSCI.0143-07.2008,28/30/7687,,,
19734902,pubmed_0_to_99.xml,19734902,UKMS27833,PMC2845877,10.1038/ng.440,ng.440,,,
20835226,pubmed_0_to_99.xml,20835226,NIHMS252007,PMC2988496,10.1038/nature09371,nature09371,,,
20890041,pubmed_0_to_99.xml,20890041,,PMC2947232,10.1172/JCI42986,42986,,,
10079271,pubmed_0_to_99.xml,10079271,,PMC1866427,10.1016/S0002-9440(10)65340-0,S0002-9440(10)65340-0,,,
10206644,pubmed_0_to_99.xml,10206644,,,10.1038/19077,,,,
10206645,pubmed_0_to_99.xml,10206645,,,10.1038/19083,,,,
10206646,pubmed_0_to_99.xml,10206646,,,10.1038/19091,,,,
10211471,pubmed_0_to_99.xml,10211471,,,10.1002/1531-8249(199904)45:4<466::aid-ana8>3.0.co;2-q,,,,
10220456,pubmed_0_to_99.xml,10220456,,PMC21854,10.1073/pnas.96.9.5274,,,,
10415140,pubmed_0_to_99.xml,10415140,,,10.1006/exnr.1999.7085,S0014-4886(99)97085-1,,,
10587574,pubmed_0_to_99.xml,10587574,,,10.1093/hmg/9.1.13,ddd006,,,
10587643,pubmed_0_to_99.xml,10587643,,,10.1038/70265,,,,
10591213,pubmed_0_to_99.xml,10591213,,,10.1038/990107,,,,
10591214,pubmed_0_to_99.xml,10591214,,,10.1038/990114,,,,
10604467,pubmed_0_to_99.xml,10604467,,,10.1038/45159,,,,
10617129,pubmed_0_to_99.xml,10617129,,,10.1046/j.1471-4159.2000.0740270.x,,,,
10623648,pubmed_100_to_199.xml,10623648,,PMC1868613,10.1016/s0002-9440(10)64700-1,S0002-9440(10)64700-1,,,
10631151,pubmed_100_to_199.xml,10631151,,PMC1288326,10.1086/302710,S0002-9297(07)62247-2,,,
10632234,pubmed_100_to_199.xml,10632234,,,10.1001/archpsyc.57.1.65,,,,
10632585,pubmed_100_to_199.xml,10632585,,PMC6772401,10.1523/JNEUROSCI.20-02-00558.2000,,,,
10634454,pubmed_100_to_199.xml,10634454,,,10.1001/archneur.57.1.94,,,,
10638761,pubmed_100_to_199.xml,10638761,,,10.1038/47513,,,,
10644715,pubmed_100_to_199.xml,10644715,,,10.1074/jbc.275.4.2568,S0021-9258(18)31010-X,,,
10648435,pubmed_100_to_199.xml,10648435,,,10.1093/brain/123.2.267,,,,
10651022,pubmed_100_to_199.xml,10651022,,,10.1007/pl00007400,,,,
10652302,pubmed_100_to_199.xml,10652302,,,10.1074/jbc.275.5.3173,S0021-9258(18)30891-3,,,
10655101,pubmed_100_to_199.xml,10655101,,,10.1038/72237,,,,
10655508,pubmed_100_to_199.xml,10655508,,PMC15568,10.1073/pnas.97.3.1202,,,,
10662539,pubmed_100_to_199.xml,10662539,,,10.1006/geno.1999.6057,S0888-7543(99)96057-3,,,
10662688,pubmed_100_to_199.xml,10662688,,,10.1016/s1074-5521(00)00063-6,S1074-5521(00)00063-6,,,
10662826,pubmed_100_to_199.xml,10662826,,PMC6772370,10.1523/JNEUROSCI.20-04-01358.2000,,,,
10662829,pubmed_100_to_199.xml,10662829,,PMC6772358,10.1523/JNEUROSCI.20-04-01386.2000,,,,
10666378,pubmed_100_to_199.xml,10666378,,PMC1850044,10.1016/S0002-9440(10)64753-0,S0002-9440(10)64753-0,,,
10668686,pubmed_100_to_199.xml,10668686,,,10.1212/wnl.54.2.295,,,,
10668712,pubmed_100_to_199.xml,10668712,,,10.1212/wnl.54.2.447,,,,
10676851,pubmed_100_to_199.xml,10676851,,,10.1016/s0197-0186(99)00126-6,S0197-0186(99)00126-6,,,
10677483,pubmed_100_to_199.xml,10677483,,PMC26455,10.1073/pnas.97.4.1456,97/4/1456,,,
10678753,pubmed_100_to_199.xml,10678753,,,10.1016/s0006-8993(99)02096-x,S0006-8993(99)02096-X,,,
10678833,pubmed_100_to_199.xml,10678833,,,10.1126/science.287.5456.1265,8276,,,
10679792,pubmed_100_to_199.xml,10679792,,,10.1002/(SICI)1097-4547(20000215)59:4<528::AID-JNR8>3.0.CO;2-0,10.1002/(SICI)1097-4547(20000215)59:4<528::AID-JNR8>3.0.CO;2-0,,,
10680786,pubmed_100_to_199.xml,10680786,,,10.1212/wnl.54.3.581,,,,
10680787,pubmed_100_to_199.xml,10680787,,,10.1212/wnl.54.3.588,,,,
10681076,pubmed_100_to_199.xml,10681076,,,10.1001/archneur.57.2.191,,,,
10681402,pubmed_100_to_199.xml,10681402,,,,S0022-2275(20)32052-6,,,
10681271,pubmed_100_to_199.xml,10681271,,,10.1093/ajcn/71.2.630s,,,,
10681533,pubmed_100_to_199.xml,10681533,,,10.1074/jbc.275.8.5535,S0021-9258(18)30579-9,,,
10682216,pubmed_100_to_199.xml,10682216,,,10.1016/s0006-3223(99)00301-7,S0006-3223(99)00301-7,,,
10681545,pubmed_100_to_199.xml,10681545,,,10.1074/jbc.275.8.5626,S0021-9258(18)30591-X,,,
10683441,pubmed_100_to_199.xml,10683441,,,10.1016/s0014-5793(00)01192-3,S0014-5793(00)01192-3,,,
10684867,pubmed_100_to_199.xml,10684867,,PMC6772918,10.1523/JNEUROSCI.20-05-01657.2000,,,,
10693932,pubmed_100_to_199.xml,10693932,,,10.1046/j.1471-4159.2000.0741017.x,,,,
10694577,pubmed_100_to_199.xml,10694577,,PMC16026,10.1073/pnas.050004797,050004797,,,
10697060,pubmed_100_to_199.xml,10697060,,,10.1001/jama.283.8.1007,joc91949,,,
10702315,pubmed_100_to_199.xml,10702315,,,10.1074/jbc.275.10.7410,S0021-9258(18)30439-3,,,
10702411,pubmed_100_to_199.xml,10702411,,PMC1876840,10.1016/S0002-9440(10)64963-2,S0002-9440(10)64963-2,,,
10706614,pubmed_100_to_199.xml,10706614,,PMC16029,10.1073/pnas.040577797,040577797,,,
10713108,pubmed_100_to_199.xml,10713108,,,10.1074/jbc.275.11.7918,S0021-9258(18)30295-3,,,
10714659,pubmed_100_to_199.xml,10714659,,,10.1001/archneur.57.3.339,,,,
10716257,pubmed_100_to_199.xml,10716257,NIHMS525093,PMC3833599,,,,,
10720273,pubmed_100_to_199.xml,10720273,,,10.1212/wnl.54.5.1050,,,,
10720281,pubmed_100_to_199.xml,10720281,,,10.1212/wnl.54.5.1099,,,,
10725383,pubmed_100_to_199.xml,10725383,,PMC16286,10.1073/pnas.97.7.3602,060034497,,,
10727245,pubmed_100_to_199.xml,10727245,,,10.1021/bi991527v,bi991527v,,,
10731508,pubmed_100_to_199.xml,10731508,,,10.1093/ajcn/71.4.993,,,,
10734005,pubmed_100_to_199.xml,10734005,,,10.1093/brain/123.4.733,,,,
10735393,pubmed_100_to_199.xml,10735393,,,10.1001/jama.283.12.1571,joc90912,,,
10737598,pubmed_100_to_199.xml,10737598,,,10.1046/j.1471-4159.2000.0741426.x,,,,
10737616,pubmed_100_to_199.xml,10737616,,,10.1046/j.1471-4159.2000.0741587.x,,,,
10742146,pubmed_100_to_199.xml,10742146,,,10.1038/74656,,,,
10747881,pubmed_100_to_199.xml,10747881,,,10.1074/jbc.M000206200,S0021-9258(19)83192-7,,,
10749877,pubmed_100_to_199.xml,10749877,,,10.1074/jbc.M002688200,S0021-9258(19)79882-2,,,
10762153,pubmed_100_to_199.xml,10762153,,,,,,,
10764048,pubmed_100_to_199.xml,10764048,,PMC8098500,10.1111/j.1750-3639.2000.tb00262.x,,,,
10764737,pubmed_100_to_199.xml,10764737,,,10.1074/jbc.M000040200,S0021-9258(19)83172-1,,,
10768568,pubmed_100_to_199.xml,10768568,,,,,,,
10771010,pubmed_100_to_199.xml,10771010,,,10.1016/s0014-2999(00)00093-5,S0014-2999(00)00093-5,,,
10781096,pubmed_100_to_199.xml,10781096,,PMC18329,10.1073/pnas.97.9.4897,97/9/4897,,,
10781099,pubmed_100_to_199.xml,10781099,,PMC18333,10.1073/pnas.080076097,080076097,,,
10783238,pubmed_100_to_199.xml,10783238,,,10.1038/35008626,,,,
10784462,pubmed_100_to_199.xml,10784462,,,10.1176/appi.ajp.157.5.708,,,,
10794848,pubmed_100_to_199.xml,10794848,,,10.1016/s0197-4580(00)00096-8,S0197-4580(00)00096-8,,,
10797534,pubmed_100_to_199.xml,10797534,,,10.1002/(SICI)1097-4547(20000501)60:3<321::AID-JNR6>3.0.CO;2-T,10.1002/(SICI)1097-4547(20000501)60:3<321::AID-JNR6>3.0.CO;2-T,,,
10799482,pubmed_100_to_199.xml,10799482,,,10.1074/jbc.275.19.14077,S0021-9258(19)80571-9,,,
10801872,pubmed_100_to_199.xml,10801872,,,10.1074/jbc.M003202200,S0021-9258(20)89350-8,,,
10801774,pubmed_100_to_199.xml,10801774,,,10.1074/jbc.C000165200,S0021-9258(19)80004-2,,,
10801983,pubmed_100_to_199.xml,10801983,,PMC18571,10.1073/pnas.110126897,110126897,,,
10802781,pubmed_100_to_199.xml,10802781,,,10.1212/wnl.54.9.1760,,,,
10805776,pubmed_100_to_199.xml,10805776,,PMC25793,10.1073/pnas.97.10.5129,97/10/5129,,,
10805803,pubmed_100_to_199.xml,10805803,,PMC25852,10.1073/pnas.97.10.5468,97/10/5468,,,
10809936,pubmed_100_to_199.xml,10809936,,,10.1046/j.1468-1331.2000.00046.x,ene046,,,
10811821,pubmed_100_to_199.xml,10811821,,PMC2174559,10.1083/jcb.149.4.793,,,,
10811883,pubmed_100_to_199.xml,10811883,,PMC18533,10.1073/pnas.100049897,100049897,,,
10811879,pubmed_100_to_199.xml,10811879,,PMC18554,10.1073/pnas.090106797,090106797,,,
10816583,pubmed_100_to_199.xml,10816583,,,10.1074/jbc.M002812200,S0021-9258(19)61595-4,,,
10818128,pubmed_100_to_199.xml,10818128,,PMC6772619,10.1523/JNEUROSCI.20-11-03937.2000,20/11/3937,,,
10821838,pubmed_100_to_199.xml,10821838,,,10.1074/jbc.M003154200,S0021-9258(19)61486-9,,,
10822429,pubmed_100_to_199.xml,10822429,,,10.1212/wnl.54.10.1916,,,,
10828533,pubmed_100_to_199.xml,10828533,,,10.1016/s0306-4522(00)00008-7,S0306-4522(00)00008-7,,,
10830966,pubmed_100_to_199.xml,10830966,,,10.1038/35012636,,,,
10841577,pubmed_100_to_199.xml,10841577,,PMC18754,10.1073/pnas.97.12.6826,97/12/6826,,,
10841784,pubmed_100_to_199.xml,10841784,,,10.1021/bi0002479,bi0002479,,,
10850703,pubmed_100_to_199.xml,10850703,,,10.1038/35014735,,,,
10851363,pubmed_100_to_199.xml,10851363,,,10.1212/wnl.54.11.2061,,,,
10852539,pubmed_100_to_199.xml,10852539,,,,,,,
10854289,pubmed_100_to_199.xml,10854289,,,10.1046/j.1471-4159.2000.0750436.x,,,,
10856299,pubmed_100_to_199.xml,10856299,,,10.1074/jbc.M002982200,S0021-9258(19)61517-6,,,
10861023,pubmed_100_to_199.xml,10861023,,PMC16593,10.1073/pnas.97.13.7609,97/13/7609,,,
10863026,pubmed_100_to_199.xml,10863026,,,10.1016/s0304-3940(00)01178-2,S0304394000011782,,,
10864326,pubmed_100_to_199.xml,10864326,,,10.1038/35015085,,,,
10867200,pubmed_100_to_199.xml,10867200,,,10.1016/s0197-4580(99)00110-4,S0197-4580(99)00110-4,,,
10867217,pubmed_100_to_199.xml,10867217,,,10.1016/s0197-4580(00)00125-1,S0197-4580(00)00125-1,,,
10867777,pubmed_100_to_199.xml,10867777,,,10.1001/archneur.57.6.808,noc90027,,,
10867781,pubmed_100_to_199.xml,10867781,,,10.1001/archneur.57.6.839,noc90093,,,
10869235,pubmed_100_to_199.xml,10869235,,PMC1287185,10.1086/303003,S0002-9297(07)62649-4,,,
10869421,pubmed_100_to_199.xml,10869421,,PMC16675,10.1073/pnas.110078997,110078997,,,
10878808,pubmed_100_to_199.xml,10878808,,,10.1038/35017062,,,,
10878813,pubmed_200_to_299.xml,10878813,,,10.1038/35017105,,,,
10879540,pubmed_200_to_299.xml,10879540,,,10.1038/35016111,,,,
10880403,pubmed_200_to_299.xml,10880403,,PMC1850215,10.1016/s0002-9440(10)64544-0,S0002-9440(10)64544-0,,,
10882062,pubmed_200_to_299.xml,10882062,,,10.1016/s1097-2765(00)80416-5,S1097-2765(00)80416-5,,,
10885656,pubmed_200_to_299.xml,10885656,,PMC8098522,10.1111/j.1750-3639.2000.tb00269.x,,,,
10886329,pubmed_200_to_299.xml,10886329,,,10.1046/j.1460-9568.2000.00069.x,ejn069,,,
10887202,pubmed_200_to_299.xml,10887202,,,10.1074/jbc.M002095200,S0021-9258(19)79730-0,,,
10888878,pubmed_200_to_299.xml,10888878,,,10.1038/77060,,,,
10888876,pubmed_200_to_299.xml,10888876,,,10.1038/77046,,,,
10894219,pubmed_200_to_299.xml,10894219,,,,,,,
10904116,pubmed_200_to_299.xml,10904116,,,10.1016/s0162-3109(00)80302-1,S0162310900803021,,,
10908610,pubmed_200_to_299.xml,10908610,,PMC6772529,10.1523/JNEUROSCI.20-15-05709.2000,20/15/5709,,,
10908893,pubmed_200_to_299.xml,10908893,NIHMS150996,PMC2771162,10.1212/wnl.55.2.210,,,,
10913280,pubmed_200_to_299.xml,10913280,,,10.1021/bi0005456,bi0005456,,,
10913285,pubmed_200_to_299.xml,10913285,,,10.1021/bi000276j,bi000276j,,,
10915801,pubmed_200_to_299.xml,10915801,,,10.1074/jbc.M005430200,S0021-9258(20)88895-4,,,
10922078,pubmed_200_to_299.xml,10922078,,PMC16862,10.1073/pnas.97.16.9299,97/16/9299,,,
10924510,pubmed_200_to_299.xml,10924510,,,10.1074/jbc.M004175200,S0021-9258(20)89068-1,,,
10931940,pubmed_200_to_299.xml,10931940,,PMC16930,10.1073/pnas.160115697,160115697,,,
10934145,pubmed_200_to_299.xml,10934145,,PMC1850140,10.1016/s0002-9440(10)64553-1,S0002-9440(10)64553-1,,,
10934251,pubmed_200_to_299.xml,10934251,,PMC6772584,10.1523/JNEUROSCI.20-16-06021.2000,20/16/6021,,,
10936206,pubmed_200_to_299.xml,10936206,,,10.1046/j.1471-4159.2000.0751234.x,,,,
10936205,pubmed_200_to_299.xml,10936205,,,10.1046/j.1471-4159.2000.0751219.x,,,,
10944562,pubmed_200_to_299.xml,10944562,NIHMS171727,PMC2831477,10.1056/NEJM200008173430701,,,,
10944193,pubmed_200_to_299.xml,10944193,,PMC27620,10.1073/pnas.170173897,170173897,,,
10953178,pubmed_200_to_299.xml,10953178,NIHMS135343,PMC2724764,10.1212/wnl.55.4.484,,,,
10953177,pubmed_200_to_299.xml,10953177,,,10.1212/wnl.55.4.480,,,,
10956649,pubmed_200_to_299.xml,10956649,,,10.1074/jbc.M005339200,S0021-9258(20)88480-4,,,
10964604,pubmed_200_to_299.xml,10964604,,,10.1006/nbdi.2000.0304,S0969-9961(00)90304-8,,,
10974424,pubmed_200_to_299.xml,10974424,,,10.1016/s0306-4522(00)00242-6,S0306-4522(00)00242-6,,,
10978169,pubmed_200_to_299.xml,10978169,,,10.1021/bi001048s,bi001048s,,,
10986041,pubmed_200_to_299.xml,10986041,,PMC1287893,10.1086/303070,S0002-9297(07)63282-0,,,
10993067,pubmed_200_to_299.xml,10993067,,,10.1038/35024009,,,,
11007476,pubmed_200_to_299.xml,11007476,,,10.1016/s0092-8674(00)00080-5,S0092-8674(00)00080-5,,,
11007782,pubmed_200_to_299.xml,11007782,,,10.1074/jbc.M006219200,S0021-9258(19)55672-1,,,
11013232,pubmed_200_to_299.xml,11013232,,,10.1074/jbc.M002466200,S0021-9258(18)44232-9,,,
11013240,pubmed_200_to_299.xml,11013240,,,10.1074/jbc.M005254200,S0021-9258(19)55618-6,,,
11015815,pubmed_200_to_299.xml,11015815,,,10.1001/archpsyc.57.10.968,yoa20048,,,
11021803,pubmed_200_to_299.xml,11021803,,,10.1126/science.290.5489.150,8888,,,
11026440,pubmed_200_to_299.xml,11026440,,,,,,,
11027207,pubmed_200_to_299.xml,11027207,,PMC6772855,10.1523/JNEUROSCI.20-20-07505.2000,20/20/7505,,,
11030342,pubmed_200_to_299.xml,11030342,,,10.1016/s1097-2765(00)00061-7,S1097-2765(00)00061-7,,,
11030795,pubmed_200_to_299.xml,11030795,,,10.1001/archneur.57.10.1439,noc00094,,,
11031097,pubmed_200_to_299.xml,11031097,,,10.1006/exnr.2000.7501,S0014488600975010,,,
11050115,pubmed_200_to_299.xml,11050115,,PMC6772747,10.1523/JNEUROSCI.20-21-07951.2000,20/21/7951,,,
11050120,pubmed_200_to_299.xml,11050120,,PMC6772742,10.1523/JNEUROSCI.20-21-07994.2000,20/21/7994,,,
11052933,pubmed_200_to_299.xml,11052933,,,10.1126/science.290.5492.767,8936,,,
11055438,pubmed_200_to_299.xml,11055438,,,10.1016/s0896-6273(00)00066-0,S0896-6273(00)00066-0,,,
11056541,pubmed_200_to_299.xml,11056541,,,10.1038/35041097,,,,
11062131,pubmed_200_to_299.xml,11062131,,,10.1126/science.290.5493.985,8948,,,
11069287,pubmed_200_to_299.xml,11069287,,PMC27175,10.1073/pnas.230315097,230315097,,,
11076514,pubmed_200_to_299.xml,11076514,,,10.1021/bi0011330,bi0011330,,,
11079549,pubmed_200_to_299.xml,11079549,,,,,,,
11079778,pubmed_200_to_299.xml,11079778,,,10.1093/jnen/59.10.880,,,,
11081516,pubmed_200_to_299.xml,11081516,,,10.1038/35040584,,,,
11085995,pubmed_200_to_299.xml,11085995,,,10.1074/jbc.M009598200,S0021-9258(18)46455-1,,,
11085987,pubmed_200_to_299.xml,11085987,,,10.1074/jbc.M007340200,S0021-9258(19)34666-6,,,
11089820,pubmed_200_to_299.xml,11089820,,,10.1016/s0140-6736(00)03155-x,S014067360003155X,,,
11089579,pubmed_200_to_299.xml,11089579,,,10.1093/jnen/59.11.1011,,,,
11099491,pubmed_200_to_299.xml,11099491,,,10.1096/fj.00-0528fje,00-0528fje,,,
11102510,pubmed_200_to_299.xml,11102510,,PMC15059,10.1091/mbc.11.12.4093,,,,
11110737,pubmed_200_to_299.xml,11110737,,PMC27547,10.1136/bmj.321.7274.1445,,,,
11117548,pubmed_200_to_299.xml,11117548,,,,,,,
11119686,pubmed_200_to_299.xml,11119686,,,10.1016/s0006-8993(00)02790-6,S0006-8993(00)02790-6,,,
11119687,pubmed_200_to_299.xml,11119687,,,10.1016/s0006-8993(00)02869-9,S0006899300028699,,,
11120756,pubmed_200_to_299.xml,11120756,,PMC387254,10.1172/JCI10498,,,,
11121879,pubmed_200_to_299.xml,11121879,,,10.1016/s0304-3940(00)01675-x,S0304-3940(00)01675-X,,,
11122341,pubmed_200_to_299.xml,11122341,,,,ejn1339,,,
11124427,pubmed_200_to_299.xml,11124427,,,10.1016/s0197-4580(00)00218-9,S0197458000002189,,,
11125142,pubmed_200_to_299.xml,11125142,,,10.1126/science.290.5500.2302,290/5500/2302,,,
11125143,pubmed_200_to_299.xml,11125143,,,10.1126/science.290.5500.2303,290/5500/2303,,,
11125144,pubmed_200_to_299.xml,11125144,,,10.1126/science.290.5500.2304,290/5500/2304,,,
11134525,pubmed_200_to_299.xml,11134525,,PMC14573,10.1073/pnas.98.1.229,011530298,,,
11134902,pubmed_200_to_299.xml,11134902,,,10.1016/s0891-5849(00)00458-5,S0891-5849(00)00458-5,,,
11144355,pubmed_200_to_299.xml,11144355,,,10.1016/s0896-6273(00)00124-0,S0896-6273(00)00124-0,,,
11150356,pubmed_200_to_299.xml,11150356,,PMC6762461,10.1523/JNEUROSCI.21-01-j0003.2001,20014869,,,
11150482,pubmed_200_to_299.xml,11150482,,,10.1016/s0006-8993(00)03075-4,S0006-8993(00)03075-4,,,
11150486,pubmed_200_to_299.xml,11150486,,,10.1016/s0006-8993(00)03082-1,S0006-8993(00)03082-1,,,
11152688,pubmed_200_to_299.xml,11152688,,,10.1074/jbc.M009899200,S0021-9258(19)34525-9,,,
11152691,pubmed_200_to_299.xml,11152691,,,10.1074/jbc.M010907200,S0021-9258(19)34506-5,,,
11157072,pubmed_200_to_299.xml,11157072,,PMC6762315,10.1523/JNEUROSCI.21-03-00858.2001,21/3/858,,,
11158633,pubmed_200_to_299.xml,11158633,,PMC14748,10.1073/pnas.98.3.1294,98/3/1294,,,
11158678,pubmed_200_to_299.xml,11158678,,,10.1126/science.291.5504.657,291/5504/657,,,
11159192,pubmed_200_to_299.xml,11159192,,PMC1850303,10.1016/S0002-9440(10)63997-1,S0002-9440(10)63997-1,,,
